"","Year","Drug","DDD/TID","DDD/TID - lower","DDD/TID - upper","Area"
"Year148",2010,"Pregabalin",0,0,0,"Central Asia"
"Year149",2010,"Pregabalin",0.051493017885547,0.0307885499981638,0.0861206809388361,"South-eastern Asia"
"Year1410",2010,"Pregabalin",0.0826336745548434,0.0449515504768993,0.151904085576422,"Southern Asia"
"Year1411",2010,"Pregabalin",0.249638388293186,0.187824756728834,0.331795051914221,"Western Asia"
"Year1412",2010,"Pregabalin",0.129720808034392,0.0603559813690292,0.278803983555642,"Northern Africa"
"Year1413",2010,"Pregabalin",0.136911069855987,0.136743498556239,0.137078846504735,"Southern Africa"
"Year15",2011,"Pregabalin",2.49586618988278,1.9257781546785,3.23471736485656,"Northern America"
"Year151",2011,"Pregabalin",0.230303848755211,0.136047743922123,0.389862126503357,"Central and South America and the Caribbean"
"Year152",2011,"Pregabalin",1.16009410010111,0.918390273113019,1.46541003371862,"Northern Europe"
"Year153",2011,"Pregabalin",0.188722551383815,0.0800362873273488,0.445000668948399,"Eastern Europe"
"Year154",2011,"Pregabalin",0.460228505615447,0.317227698436841,0.667691624737488,"Southern Europe"
"Year155",2011,"Pregabalin",2.2829822763218,1.93610974573427,2.69200032977614,"Western Europe"
"Year156",2011,"Pregabalin",0.241276736671626,0.0137105737328038,4.24595387424424,"Australia and New Zealand"
"Year157",2011,"Pregabalin",0.071863342633328,0.0260527225236895,0.198226500502556,"Eastern Asia"
"Year158",2011,"Pregabalin",0.00960101577255976,0.0095230806198554,0.00967958873232146,"Central Asia"
"Year159",2011,"Pregabalin",0.0685318547311956,0.0307627938479025,0.152671930128281,"South-eastern Asia"
"Year1510",2011,"Pregabalin",0.099857830444782,0.0460417147032799,0.216577214063412,"Southern Asia"
"Year1511",2011,"Pregabalin",0.328078947555858,0.251339716281389,0.428248258659029,"Western Asia"
"Year1512",2011,"Pregabalin",0.172466652819787,0.0829605896628425,0.358540681252938,"Northern Africa"
"Year1513",2011,"Pregabalin",0.159058685644229,0.158879431314018,0.159238142216572,"Southern Africa"
"Year16",2012,"Pregabalin",2.56787536632579,1.7263125559443,3.81969294857839,"Northern America"
"Year161",2012,"Pregabalin",0.285255800143433,0.165716698080106,0.491023973191502,"Central and South America and the Caribbean"
"Year162",2012,"Pregabalin",1.29827841183154,1.02874615590631,1.63842831873611,"Northern Europe"
"Year163",2012,"Pregabalin",0.171301050487077,0.0825699531718855,0.355384116990966,"Eastern Europe"
"Year164",2012,"Pregabalin",0.57763972333603,0.391296283953554,0.852723789258707,"Southern Europe"
"Year165",2012,"Pregabalin",2.54377329109508,2.17475930146596,2.97540171554935,"Western Europe"
"Year166",2012,"Pregabalin",0.269309923826655,0.0144725862039607,5.01139423523836,"Australia and New Zealand"
"Year167",2012,"Pregabalin",0.0699205426265411,0.0215155661361547,0.227225360943428,"Eastern Asia"
"Year168",2012,"Pregabalin",0.0218950945951692,0.0217781605167966,0.0220126565309163,"Central Asia"
