"","Drug","Region","Country","expcoef","explower","expupper","p-value"
"212","Gabapentinoids","Central Asia","Central Asia",20.4472712210678,-0.52875037227107,45.8466159709055,0.0548342624820324
"213","Gabapentin","Central and South America and the Caribbean","Central and South America and the Caribbean",-0.557347083035076,-6.02972644052847,5.23371747881038,0.845069938493067
"214","Gabapentin","Australia and New Zealand","Australia and New Zealand",6.87194245824381,1.77053092731276,12.2290704462945,0.0103763687188956
"215","Gabapentin","Western Europe","Western Europe",1.9465698165464,0.187999165134567,3.73600814434438,0.0304275916288833
"216","Gabapentin","Eastern Europe","Eastern Europe",20.9805793425586,16.4175704720949,25.7224362156691,0.00000000000000199840144432528
"217","Gabapentin","Northern America","Northern America",8.44826829093599,5.75534427132696,11.2097641621649,0.00000189159331898114
"218","Gabapentin","Eastern Asia","Eastern Asia",10.8569044474728,4.07347943208851,18.082467605931,0.00206267055321163
"219","Gabapentin","Southern Europe","Southern Europe",2.68038332172975,-0.357850185715203,5.81125697055027,0.0834336775126798
"220","Gabapentin","Northern Africa","Northern Africa",17.4608618759829,2.40423829575305,34.7312797034977,0.0228800466931645
"221","Gabapentin","Northern Europe","Northern Europe",14.633784310484,11.8297709288592,17.5081053658082,0
"222","Gabapentin","Southern Asia","Southern Asia",3.79257749030393,-1.11015182593106,8.93837275508766,0.123855928953436
"223","Gabapentin","Western Asia","Western Asia",13.9100784403119,5.98920839869603,22.4228972582612,0.000620976165150555
"224","Gabapentin","South-eastern Asia","South-eastern Asia",9.02002266229889,1.04361036927743,17.626095285506,0.0282344060727148
"225","Gabapentin","Southern Africa","Southern Africa",3.40837669347491,1.54275363615546,5.30827643984764,0.00243161688490923
"226","Gabapentin","Central Asia","Central Asia",4.17449215147858,-0.955411241996473,9.57009313789012,0.0947966205219559
"227","Gabapentin Enacarbil","Northern America","Northern America",42.7336637638876,-8.16286753343469,121.837270222691,0.0957651170601111
"228","Gabapentin Enacarbil","Eastern Asia","Eastern Asia",37.371605298073,-13.7687228094705,118.841220459646,0.140013647673572
