"","Drug","Region","Country","expcoef","explower","expupper","p-value"
"200","Gabapentinoids","Northern Europe","Northern Europe",14.9018713556457,12.4743002802905,17.381837523135,0
"201","Gabapentinoids","Southern Asia","Southern Asia",15.5569090871329,12.1868669274498,19.0281857715789,0.00000000367226149489142
"202","Gabapentinoids","Eastern Asia","Eastern Asia",38.0057378392121,17.8672003684453,61.5851027004125,0.000278692607449393
"203","Gabapentinoids","Western Asia","Western Asia",17.5766297001989,10.5383142515218,25.0630964047596,0.00000218680376184999
"204","Gabapentinoids","South-eastern Asia","South-eastern Asia",10.7114676476031,9.40628997192998,12.0322156233522,0.0000000118189069642227
"205","Gabapentinoids","Southern Africa","Southern Africa",12.4231364922213,6.34582330155615,18.8477480954691,0.0010201789723463
"206","Gabapentinoids","Central Asia","Central Asia",19.8992076624537,-0.543319346995064,44.5435329602451,0.0550981447654528
"207","Gabapentin","Central and South America and the Caribbean","Central and South America and the Caribbean",-0.514989561318457,-5.99520867563075,5.2847111572585,0.856886405695683
"208","Gabapentin","Australia and New Zealand","Australia and New Zealand",8.97245857438138,4.99756751471048,13.0978270147215,0.000113774175103387
"209","Gabapentin","Western Europe","Western Europe",2.09253915405332,0.343575779562633,3.87198652177967,0.019570752837317
"210","Gabapentin","Eastern Europe","Eastern Europe",21.6110673468469,16.9532938388946,26.4543410090854,0.00000000000000122124532708767
"211","Gabapentin","Northern America","Northern America",8.90018611135248,6.22216405781499,11.6457251674181,0.0000008239842655966
"212","Gabapentin","Southern Europe","Southern Europe",2.60293608026041,-0.450533868914427,5.75006478113802,0.0943144275219483
"213","Gabapentin","Northern Africa","Northern Africa",17.4032396295168,2.35339847384728,34.6659796452937,0.0232729170747719
"214","Gabapentin","Northern Europe","Northern Europe",14.7521151882456,11.963676507315,17.60999951905,0
"215","Gabapentin","Southern Asia","Southern Asia",3.79257749030393,-1.11015182593106,8.93837275508766,0.123855928953436
"216","Gabapentin","Eastern Asia","Eastern Asia",14.7649154021257,-0.226482308722009,32.0088347291824,0.0535529281259268
"217","Gabapentin","Western Asia","Western Asia",13.9139743588897,5.99360539852218,22.426192650474,0.000618404453635701
"218","Gabapentin","South-eastern Asia","South-eastern Asia",0.0459943190372902,-1.57905805897006,1.69787833652286,0.950741106556584
"219","Gabapentin","Southern Africa","Southern Africa",3.40837669347491,1.54275363615546,5.30827643984764,0.00243161688490923
"220","Gabapentin","Central Asia","Central Asia",3.05612218006881,-1.75516718147398,8.10303213005779,0.174330776502363
"221","Gabapentin Enacarbil","Northern America","Northern America",42.1641793494376,-8.44904734762673,120.758531774548,0.0982248030591337
"222","Gabapentin Enacarbil","Eastern Asia","Eastern Asia",35.4076804692564,-13.6025910506924,112.219789378431,0.143428527126254
"223","Gabapentin Enacarbil","Central and South America and the Caribbean","Central and South America and the Caribbean",5.92605471644858,-96.8549760681235,3467.64505162204,0.869446281581904
"224","Pregabalin","Northern Africa","Northern Africa",42.9425445010621,31.0014677591216,55.9720770915973,0.000000000397128996354468
"225","Pregabalin","Central and South America and the Caribbean","Central and South America and the Caribbean",17.800919987137,12.9712666434313,22.837046641388,0.00000000000797850674416622
"226","Pregabalin","Australia and New Zealand","Australia and New Zealand",42.7180945880324,27.6988146893475,59.5038651876983,0.00000211758286228214
"227","Pregabalin","Western Europe","Western Europe",11.216046877953,9.00206358774667,13.4749992434958,0.000000000000000888178419700125
"228","Pregabalin","Eastern Europe","Eastern Europe",31.5263277955355,18.7488219601602,45.6787075258941,0.000000879029760092465
"229","Pregabalin","Northern America","Northern America",7.41828602668839,3.58243856126053,11.3961819511253,0.000583873251218447
